pgpid,type,tags,description
720,Letter,"Nahray B. Nissim, illness letter 969-1517, trade, illness: mention, Illness","Letter from Nissim b. Ḥalfon b. Benaya, in Tinnīs, to Nahray b. Nissim, in Fustat. Dating: 7 December 1060. Among many other matters, Nissim reveals that he has recovered from his illness and left the house and returned to work today for the first time (r10-11). ASE."
721,Letter,"Nahray B. Nissim, trade, silk, al-Tahirti, secret","Letter from Nissim b. Avraham to Nahray b. Nissim (Fustat). Dating: ca. 1050s. About a consignment of silk that was about to reach Fustat, owned in partnership by the sender and Barhūn b. Mūsā al-Tāhirtī. Nahray is requested to sell the silk as quickly as possible and to keep the sale secret. Nissim's travel plans imply that he writes from an important centre in the delta, possibly Būṣīr. (Information from Gil, Kingdom, Vol. 4, p. 506-507.)"
722,Letter,"Nahray B. Nissim, trade","Letter from Mūsā b. Abī al-Ḥayy, from Alexandria, to Nahray b. Nissim, Fustat. Dating: around 1057. Regarding sending goods in leather sacks. Musa returned from the Maghreb. He is planning to travel to Tripoli. (Information from Gil, Kingdom, Vol. 3, p. 519). NB: Gil referred to this document as ""ENA 2805.8 A."""
723,Legal document,"Nahray B. Nissim, trade","Fragment of draft of a court document relating to the affairs of Nahray b. Nissim, ca. 1045-1096."
724,Letter,"Nahray B. Nissim, trade","Letter from Yosef b. Shemarya, the dayyan of Barqa, in Alexandria, to “his brother” Nahray b. Nissim, in Fustat. Mentioning his pilgrimage to Jerusalem from Egypt and that he is unable to travel by sea. Written ca. 1060. (S. D. Goitein, Mediterranean Society, 2:586, 4:242, 439.) EMS. There is a translation into English in Goitein's attached notes."
725,Letter,,Letter from Yehosef b. Shemuel Bavli to the judge Anatoli b. Yosef. In Hebrew. He states that he will not hand over a security to Avraham ha-Kohen ha-Maʿaravi without the addressee's signature.
726,Letter,"illness: marad, illness letter 969-1517, communal, old age, illness: poverty, Petition, Illness","Petition to the Gaʾon Maṣliaḥ ha-Kohen (in office 1127–39). Begins with six lines of Hebrew blessings, and ends with one line of Hebrew blessings. The sender describes himself as a man of more than seventy years who has been afflicted by an illness that makes him unable to work and earn a livelihood. He owes a debt (or rather capitation tax payment?) of 14 qirats and 1 dirham; somehow this is connected to a man named Salāma Ibn al-Maqāniʿiyya and a guarantee. If he is unable to pay, he fears being imprisoned. He states that he is near death and starving, some days eating and some days not. Maṣliaḥ had previously promised to help him pay this sum, so this letter is a reminder. In the margin, mentions a meat shop and someone named Mīkhāʾīl.  Verso is filled with Arabic-script jottings and document drafts in a chancery hand, including drafts of a letter or petition to a notable. VMR. EMS. ASE."
727,Letter,communal,"Letter from Natan b. Mevorakh ha-Kohen and Yeshuʿa b. Yefet, in Ashqelon, to Eliyyahu b. Evyatar ha-Kohen. Dated: 13 Ḥeshvan 1424 Seleucid, which is 1112 CE. None of the body of the letter is preserved (only the introduction, conclusion in the upper margin, and address on verso)."
729,Letter,"genealogy, Mazliah Gaon",Letter from Masliaḥ Gaʾon. Dating: ca. 1120 CE (unclear on what basis). Containing his genealogy at the beginning.
730,Legal document,legal query,"A legal query, possibly addressed to R. Yiṣḥaq ha-Sefaradi (per Goitein, Palestinian Jewry, 309–11), concerning an adopted woman who fled her marriage to a foster brother and was driven out of her house by her foster siblings. The back-story is that the mother of three girls and two boys took a captive girl into her house on the view that raising her was a thawāb (miṣva). After 4–5 years, when she matured, one of the foster-mother's boys wished to marry her. After four (months?), the former captive returned to the house of her foster-mother and declared that she wouldn't stay with him. Dating: Goitein dates this document to the Crusader period, but see Goldman, ""Arabic-Speaking Jews in Crusader Syria,"" p. 37: ""Many undated Geniza documents have been ascribed to the period of the Crusades simply because they relate to warfare, ransoming, refugees, and/or massacres."" (some data added by AA)"
731,List or table,"communal, qodesh, 11th c, Copts, acccount, Yefet b. David b. Shekhanya, badhanj","Account of the Qodesh: building expenditures, ca. 1040. List of expenses, beautifully written by Yefet b. David b. Shekhanya. Materials for the construction of a ceiling are being prepared. Work on a ""wind catcher,"" plastering, supplies of clay, and sewage work are also among the items listed. Clay is paid for after having been weighed by ""the Christian,"" obviously a Copt, the Copts being much involved in building work. Mentions a wind catcher (bādhanj). (Information from Gil, Documents, pp. 187 #18)"
732,Letter,"waqf, qodesh, 12th c, heqdesh, acccount","Letter from Avraham b. Natan Av, judge in Cairo, to al-Mumhe, i.e. ""the specialist,"" meaning a permanent member of the court, whose name is not preserved, and who was apparently in charge of the money of the qodesh, ca. 1100. Report concerning money of the qodesh after the death of its holder. A certain parnas, Musafir, has donated five dinars to the heqdesh of the synagogue of Cairo. Sa'id, ""the head of the congregations,"" who was given the money in order to bring timber from Alexandria for this sum, died before he could go to Alexandria and the money was left with his widow. An inquiry (carried out by the court) into the matter has shown that the qodesh still owes the widow money and the writer asks that the balance be paid to her. (Information from Gil, Documents, pp. 220 #35)"
733,Letter,communal,"Letter from Avraham, son of the Gaon and people from Fustat to Shelomo b. Yehuda"
734,Legal document,"Jerusalem, Shelomo b. Yehuda","Deed, drawn up in a Jerusalem court in the hand of Shelomo b. Yehuda, October 1036."
735,Letter,"Nahray B. Nissim, trade, silk, commodities","Account, private, written by Nahray b. Nissim. Dating: ca. 1061 CE. Nissim b. Ishaq, for whom the account was made, is probably ha-Tahirti. Mentions silk and lacquer and other goods from Sicily, as well as pearls that were exported to Sicily, as well as transactions in Tripoli. (Information from Gil, Kingdom, Vol. 2, #281 and Shelomo Simonsohn, The Jews in Sicily, 1997, 275.) VMR. EMS."
736,List or table,"Nahray B. Nissim, trade, acccount","Account of Nahray b. Nissim for three bales sent from Busir to Fustat, ca. 1045-1096."
737,List or table,"waqf, qodesh, 12th c, heqdesh, acccount, Shemuel b. Saadya","List of expenditures of the Qodesh ca. 1169-70. An accounting written in the hand of Judge Shemuel b. Saadya ha-Levi, on both parts of a leaf from a notebook, mentioning several houses of the qodesh. Most items refer to building operations, but there are also sums spent on nightwatch and gifts to Muslim officials. The Synagogue of the Babylonians is one of the main beneficiaries in this accounting. (Information from Gil, Documents, pp. 309 #72)"
739,Letter,"communal, Daniel b. 'Azarya, Nagid, gaonate, gaonic conflict","Letter from Shemarya b. Maṣliaḥ, in Fustat, to the Nagid Yaʿaqov b. ʿAmram, in Qayrawān. Dating: probably spring or summer of 1039 CE, and in any case 1038–42 CE, the period of conflict between Natan b. Avraham and Shelomo b. Yehuda over the gaʾonate in Palestine. The letter drafts on both recto and verso are about that conflict and the question of the loyalties of the community of Qayrawān. Signed by Shemarya but from a group of people; Shemarya's signature is in a different hand from the letter itself, and according to Gil, the scribe is Ghālib b. Moshe ha-Kohen, the son-in-law of Efrayim b. Shemarya. Both Gil and Cohen assume that additional leaders of the Fustat community were planning to sign the letter. This letter covers some of the same ground as the letter on verso; we additionally learn that the support that Natan b. Avraham claimed to have secured in the Maghreb came from the elders of Qayrawān. Jacob Mann published T-S 18J4.16, and Mark Cohen discovered the join with ENA 3765.10 and the significance of this pair of letters. (Information from Goitein, Cohen, Gil, and CUDL.)"
740,Letter,"slaves, Qayrawan, Natan b. Avraham, Daniel b. 'Azarya, music, Nagid, conflict, gaonic conflict","Letter from Avraham b. David Ibn Sughmār (according to Gil), in Fustat, to the Nagid Yaʿaqov b. ʿAmram, in Qayrawān. Dating: Probably spring or summer of 1039 CE, and in any case 1038–42 CE, during the period of conflict between Natan b. Avraham and Shelomo b. Yehuda over the gaʾonate in Palestine. The letter drafts on both recto and verso are about the conflict and the loyalties of the community of Qayrawān. The sender asks the Nagid, who had previously petitioned the Muslim official Abū l-Qāsim Ibn al-Ukhuwwa on Natan’s behalf, to show his renewed support for the legitimate gaʾon, Shelomo b. Yehuda. This letter also mentions the arrival in Fusṭāṭ of the Nasi Daniel b. ʿAzarya and presents him as a great reformer, banning the ownership of female slaves, excommunicating miscreants, and cracking down on music. As an afterthought, the sender alludes to terrible wrongs being inflicted by Natan b. Avraham's relatives. One remarkable thing about this letter is that it was written at least a decade before Daniel b. ʿAzarya served as gaʾon (beginning in 1051 CE after the death of Shelomo b. Yehuda). It's also one of the key sources for Daniel b. ʿAzarya's lineage: it says that his father was the exilarch ʿAzarya b. Shelomo b. Zakkay, whose elder son Zakkay (Daniel's brother) established the dynasty of Nasis in Mosul whose descendants crop up throughout the Geniza documents of the next two centuries. Jacob Mann published T-S 18J4.16, and Mark Cohen discovered the join with ENA 3765.10 and the significance of this pair of letters. (Information from Goitein, Cohen, Gil, and CUDL.)"
741,Letter,,"Letter of condolence from Daniel b. Azarya on the death of Yosef ha-Kohen Av Beit Din b. Shelomo Gaʾon, early 1054. (Moshe Gil)"
743,Letter,communal,"Letter of Daniel b. Azarya, December 1051."
744,Letter,communal,"Letter (fragment) from Daniel b. Azarya (ca. 1055) to Eli b. Amram, Fustat, 1052."
745,Legal document,"will, Daniel b. Azarya","Guardianship document from the court of Daniel b. Azarya, Jerusalem. An unknown person b. Ezra appoints Ishaq b. Abraham to be the guardian and get what his brother left him in his will. (Gil, Kingdom, vol. 2, #216) VMR The second document, ENA NS 44.31 forms the second portion of lines 7 - 18. For the exact location of the tear please see the original text."
746,List or table,"waqf, qodesh, heqdesh, acccount",Accounting of the Qodesh. Ca. 1222-23.
747,List or table,"waqf, 13th c, qodesh, heqdesh, Coptic numerals, acccount","Account (draft) of the Qodesh ca. 1222-23. Record of an accounting in which mainly expenditures are preserved. Listed are expenditures made by the beadle Abu'l-Tahir, both on building operations and on oil for the synagogue. There are a few revenues from rent listed as well. (Information from Gil, Documents, pp.429 #128)"
749,Letter,"India, illness letter 969-1517, IB4, Illness","Letter from Yehuda ha-Levi (but see PGPID 9079) to Ḥalfon b. Netanel, 12th century.
Description from PGPID 9079:
Letter from Yiṣḥaq Ibn ʿEzra to Ḥalfon b. Netanel. In Judaeo-Arabic. Location: Spain. Dating: Perhaps the end of summer, 1138 CE. Dealing with the return of a defective mithqāl. Together with his business partner Yiṣḥaq b. ʿOvadya (who is incidentally sick), the writer has sent Ḥalfon a large shipment of 500 sheets of paper. Ḥalfon had business relationships with both parties, and the price of the paper will be credited toward Yiṣḥaq b. ʿOvadya's account with Ḥalfon. Ibn ʿEzra writes that he plans to visit Ḥalfon the following week, and he passes on regards from two Muslim viziers: Abū Muḥammad b. Abū Rajā and Abū Isḥāq b. Wāziʿ. Description based on India Book. [NB volume number in shelfmark is roman numeral I, not Arabic numeral 1.] ASE. IB ח37 (ד38).

E.N. Adler, uncatalogued, no. 40, ed. Goitein, ""Autographs of Yehuda Hallevi"", Tarbiz 25 (1956), pp. 407 SH [10-23-87] (P) Letter from Yehuda Ha-Levi to Halfon b. Nathaneel, 12th century."
750,Legal document,,"Writ of debt drawn up in the ''high court"" between two brothers, both kohanim, Hiba b. Ghālib and Yisraʾel b. Ghālib. Location: Jerusalem. Dated: Friday, 24 Ḥeshvan 4765 AM, which is 10 November 1004 CE. (""The fifth year of the shemiṭa"" is specified.) Hiba owes Yisraʾel the considerable sum of 236 dinars. (Or has he already paid?) Signed by Shelomo b. Mevorakh; Shelomo b. Yiṣḥaq; Shemuel b. Naḥuma; and Shemuel ha-Shlishi (""the Third"") b. Hoshaʿna. (third), son of Hoshana. (Information in part from Gil.)"
751,Letter,"recommendation, illness letter 969-1517, communal, inheritance, illness: eye, mail-order medicine, illness: children, myrobalan, kohl","Letter from Avraham ha-Reviʿi b. Shemuel ha-Shelishi, probably in Ramla, to Shelomo b. Yehuda, in Jerusalem. In Hebrew. Dating: Ca. 1040 CE. The letter is also signed by the physician ʿAmram b. Aharon ha-Kohen (also signed T-S 12.507 (PGPID 1677)). (There was a liturgical poet by the name of Shemuel ha-Shelishi (""the Third"") whose works survived in the Geniza and who lived around 1000, so this could well be his son.) The bearer of the letter is Moshe b. Mevasser. The senders ask the addressee to ensure that he receives the full third of his father's inheritance that is due to him; there are 3 brothers (including a Natan b. Mevasser), and none is the firstborn. Shelomo b. Yehuda writes about the same case in T-S 20.178. There is also a request ""to obtain a little kohl for me to remove the whiteness from the eye of my little daughter,"" and a request for emblic (amlaj). There may be a reference to the controversy with Natan b. Avraham. (Information in part from Gil.) MR. ASE."
752,Letter,,Letter from David b. Daniel to Aaron the cantor
753,Letter,,"Two copies of letters. (1) From Sherira Gaon and his son Hayya to Shemuel b. Yosef ha-Kohen, the Palestinian Gaon. Little of the substance is preserved, but it is interesting that the senders ask for the letter to be read aloud in public (in Ramla or Jerusalem). (2) Letter from Yosef b. Ibn Abitūr to Shemuel ha-Kohen b. Yosef. This one is not digitized on PGP yet. Ibn Abitūr's main goal in this letter is to get the Gaon to reiterate an excommunication on a certain person which Ibn Abitūr already excommunicated, but who refuses to repent. Ibn Abitūr also asks the Gaon to excommunicate other persons, ""who are aiding this wicked man, inciting him to remain streadfast and to further claim that he will be flogged, he will apostatize"" ( yeṣē mi-dīnō le-tarbūt ra̔ah יצא מדינו לתרבות רעה). It was edited by Mann, ""Varia on the Gaonic Period (conclusion),"" Tarbiz 6, no. 1 (1934), 84–88."
754,Legal document,"ketubba, Marriage","Ketubba (marriage contract). Groom: Yehuda b. ʿAmram. Bride: Sutayt bt. Shemuel Gaʾon, virgin. Location: Jerusalem. Dating: Late 10th century. Doodles in the margins."
755,Letter,"Sicily, tax, yeshiva, fundraising","Letter from Abū l-Ḥayy b. Ḥakīm, in Sicily, to Ḥananya ha-Kohen Av Bet Din. Dating: ca. 1025 (unclear on what basis; Gil says ca. 1020, and Simonsohn says before 1020). Written on parchment. The sender reports that the letter of the Rosh Yeshiva Yoshiyyahu arrived, and it was read aloud in the synagogue. Apparently Yoshiyyahu was soliciting funds for the Jerusalem Yeshiva, and this letter is excusing the congregation for failing to donate anything. The reason is that the capitation tax has been increased to 4 1/3 טריים per head. There may be reference to a specific family (his own?) that owes the tax for four people. He claims that many of the Jews of Sicily have fled ""due to fear from the rulers of the land."" The community does not like to send a letter to the Rosh Yeshiva without a little money enclosed. The letter was written in Elul, and the sender says he will try to raise some funds in Tishrei. This document was edited by Gil and earlier by Mann (see discussion in Mann, Jews in Egypt and Palestine, I, 73–74)."
756,Legal document,,"Recto: Legal document. Location: Fustat. Dated: Thursday, 18 Iyyar 1386 Seleucid = 7 May 1075 CE. Appointment of Efrayim b. Bashād as the beadle (khādim) of the Palestinian synagogue. He will live there with his boys and guard its property; an inventory is then given. ""Like his predecessors,"" he will receive funds from two pesiqas each year and the payment of the capitation tax (kharāj) in full."
757,Legal document,register,"Court record in the hand of Hillel b. ʿEli. Location: Fustat. Dating: No earlier than late 1097 CE, as it contains a copy of an earlier legal document which was dated Monday, 29 Av 1408 Seleucid. Under the authority of the Nagid Mevorakh b. Saʿadya. Concerns the financial settling between Abū ʿAlī Yefet b. Avraham (Yefet is titled Tifʾeret ha-Qahal) and Abū Yaʿqūb Yequtiʾel b. Moshe ha-Rofe (Yequtiʾel is titled Paqid ha-Soḥarim) after the death of Yefet's brother Yaʾir the judge. ENA NS 48.7 and ENA 4010.17 concern the same case (information from Moshe Yagur)."
759,Legal document,,"Legal document confirmation by Eliyyahu Ha-Kohen Gaon b. Shelomo. 1070. Signed by Zedaqa b. Yosef, Mevasser b. Yosef, [...] b. Avraham Saadia b. Yiṣḥaq b. Yeshua"
760,Legal document,,"Page from the record book of the law court of the Yeshiva, perhaps Yoshiyahhu Gaʾon. From the same ledger: ENA 4010.28, ENA NS 8.15, and Bodl. MS heb. c 13/21. Recto: Agreement between a wife and husband, August 1023. Mentions ""under arrest (? iʿtiqāl) by Sayyidnā al-rayyis."" Verso: Three small settlements. (1) Hiba b. Musāfir and Ibn Ruʿbūb. 1/8 dinar over 23 weeks. (2) Mubārak b. Khalaf al-Ramlī b. al-Ruwaymī and Mubārak b. al-Harrām(?) al-Laḥḥām al-Ramlī. Involves a canister or spice box (zanjala/zinjila) that was deposited against 2 qirats. (3) Ibrāhīm b. Manṣūr al-Ṣāʾigh and Abū l-Ḥusayn Shemuel b. Binyamin b. ʿUlla. 41 dirhams."
761,Legal document,"Tyre, Partnership","Legal document from the high court of the nasi (David b. Daniel) recording testimony of Yefet b. Levi (?) b. Menashshe, acting as power of attorney for his wife, Banāt bt. Abū l-Riḍā Yefet, claiming her father's share of what remains from his partnership with Musāfir b. Shemuel, and recording Musāfir's testimony that he could produce a legal document testifying that Abū l-Riḍā had spoken about this matter differently (i.e. as not being a partnership). The document was then in Tyre, whither Musāfir had sent it for validation by the head of the yeshiva, Eliyyahu Ha-Kohen, and Musāfir asks for a delay until he can have it sent. Verso: parts of one or two other letters, unrelated to the document on recto. ENA 4010.31 and T-S 20.162 are from the same case."
763,Letter,communal,Letter (fragment) by Shelomo b. Yehuda written in his own hand (Gil); 1041.
764,Legal document,"ketubba, Marriage","Marriage contract (ketubba) in the Palestinian style. Location: Tyre. Dated: August 1079 CE. In the hand of the ḥaver ʿAmram b. Ṣedaqa (see also T-S AS 150.230, T-S 16.136, T-S AS 156.394, and T-S AS 150.230). Edited by both Gil and Friedman."
765,Letter,,"Letter addressed to a dignitary (Sar) offering congratulations on the holidays. The sender had sent a messenger, who had not found the addressee at home, so he now sends a letter instead. Note that ""yeshaʿ yiqrav"" at the bottom is not the sender's name but rather a motto. Gil identifies the sender (on the basis of handwriting) as Natan b. Avraham and the addressee (perhaps on the basis of his titles) as Avraham Ha-Kohen b. Yiṣḥaq b. Furat. Gil further speculates that it was sent between Purim and Passover, in the spring of 1039 CE. (Information from Gil and from Goitein’s index card)"
766,Letter,"communal, Tripoli (Lebanon), Hesed al-Tustari","Letter from the congregation of Tripoli, Lebanon, to Hesed b. Sahl. Synagogues in other places have been returned to the Jews, but in the writer's town the synagogue was turned into a mosque. See also PGPID 767 (Gil's edition of the same document). Verso has Hebrew poems.
Description from PGPID 767:
Letter from the community of Tripoli (Lebanon) to Hesed Ha-Tustari. 1025. See also PGPID 766."
768,Legal document,,"Excerpt of a writ written in Ramla, 1076."
769,Letter,communal,"Letter from David b. Daniel to a parnas (leader of the Jewish community). Written in his own hand, per Gil. In Judaeo-Arabic. Instructing the addressee to obtain from Abū l-Riḍā Shelomo b. Mevorakh 60 wariq (low-quality) dirhams and to pay them to the divorcee of Abū l-Baqāʾ Shemuel. He is to inform her that this payment is for maintenance of his (Shemuel's) daughter for a period of two full months. Her family and kin must cease their objections, because this monthly payment (30 wariq dirhams) is more than she has a right to by law. The parnas should convey this payment to her every month going forward."
770,List or table,"waqf, qodesh, 12th c, heqdesh, acccount","Account: record of payments of the qodesh in Cairo, ca. December 1181. The collector of the qodesh in Cairo, Kohen Abu al-Munajja, surnamed al-Zariz, submits his account to the court. The account refers to expenditures made out of the rent of three months, Elul 1492, and Tishri and Marheshwan 1493 Sel. The money was spent for clothes, for the children of the Nasi, for nightwatch and maintenance. (Information from Gil, Documents, pp. 366 #95 and Mediterranean Society, II, 423). Written under the authority of Sar Shalom Halevi. A note written by R. Isacc the dayyan is mentioned. Alternate description: Record of payments of the Qodesh in Cairo ca. 1181-82 (Gil). Request from a notable to remit immediately the sum he had pledged for the capitation tax of the poor. These notes and similar ones no doubt emanated from the office of Elhanan b. Shemarya (see S. D. Goitein, ""Elhanan b. Shemarya as a Communal Leader,"" Yehoshuaʿ Finkel Jubilee Volume [New York, 1970]). Information from Goitein, Med. Soc., 2:455. The transcription here is for ENA 4011.29."
771,List or table,"waqf, qodesh, 12th c, heqdesh, estate of the jerusalemites, acccount, Shemuel b. Saadya","Money order of the Qodesh. Ca. 1162-63. The judge Shemuel b. Saadya ha-Levi wrote and signed an order to pay 9.5 dirhams to the children of a certain Hiba, the brother of Abu Ishaq al-Mukari, said to be thier share in the revenue of the ""Estate of the Jerusalemites."" (Information from Gil, Documents, pp. 308 #70)"
772,Legal document,"qodesh, 12th c","Verso: Legal document: agreement with the Qodesh. Dating: ca. 1160. An agreement is concluded between a certain Ṣubḥ and his wife, and the qodesh, represented by Abū Naṣr Yeshaʿyahu ha-Levi, the general administrator of the estates of the qodesh. Since the couple own nine qarārīṭ (=3/8) of the house of which the qodesh owns the rest, the repairs needed in the house could not be made without their collaboration. As a pledge for their part of the cost, they temporarily waive the ownership rights over their part as long as Yeshaʿyahu ha-Levi wants it. They also will accept the sum of the expenditures stated by him without question. (Information from Gil, Documents, pp. 292 #62)"
773,List or table,"waqf, qodesh, 12th c, heqdesh, acccount, hikr","Account of the qodesh, ca. probably 1158. Fragment of an accounting between the qodesh and, apparently, its partner in the ownership of a compound, known as Hiba al-Abzari, one eighth of which belongs to the qodesh. This can be inferred from the fact that the qodesh returns sums previously paid by that man for the ground rent (ḥikr). A former agreement seems to have imposed monthly payments of 10 dinars upon the co-proprietor, to settle his debt. The new computation stretches over a period of nine years, 1149-1158 - years 1461, 1465, 1466 sel. (1149-50, 1154, 1155), and years (5)50, (5)51, (5)52, (5)53 AH (1155-1158 CE). It shows that 50 dinars are still owing to the qodesh. This sum is to be paid on the spot, and the account has the tone of a deed of release, indicating that money was about to be paid. Coptic numerals are used. Written in the hand of Judge Hiyya b. Yitzhak, and signed by him. (Information from Gil, Documents, pp. 274-276 #56)"
774,Legal document,qodesh,"Legal document. Record of a deposition in court (maḥḍar). Dated: Sunday, 21 Av/Rabīʿ I 442 AH = 12 August 1050 CE. Unsigned draft, written by Yefet b. David b. Shekhanya. Musāfir b. ʿAmram sues Saʿīd b. ʿAllūn al-Qudsī concerning a diadem which Musāfir had given to Saʿīd to transport to Tyre but never arrived. Saʿīd takes several oaths that if Musāfir shows the court a letter from Tyre (presumably attesting that the diadem never arrived), he will pay a fine of 10 dinars to the qodesh for the poor of Jerusalem. Musāfir then produces exactly such a letter. Saʿīd then claims that his oath was only about a letter from Tyre from his father-in-law. Musāfir then shows the court letters from the father-in-law. (Ed. Gil, Documents of the Jewish Pious Foundations, doc. 31; Gil's translation confuses some of the procedure.)"
775,List or table,"communal, rent, waqf, 13th c, qodesh, heqdesh, acccount","Verso: Account of the qodesh. Dating: ca. 1215 CE, according to Gil. This document records sums deposited by several collectors of the qodesh with its central administration. Details about 1,010 dirhams and other sums received from rents and delivered by the writer to various communal officials. The writer is apparently one of the judges of the court in Fustat. The account is written on the verso of a bill of sale for an Indian female slave, which was concluded in 1155 CE (see PGPID 11413). (Information from Gil, Documents, p. 409f, doc. #111, and Goitein, Mediterranean Society II, p. 428, App. A, sec. 138.)"
776,Letter,communal,"Letter from the Jerusalemites to Bishr ibn Ghalib, the parnas of Fustat, apparently 1024."
777,Letter,communal,"Letter from Yoshiyyahu Gaon to the banker (ha-Shulḥani) Netanel b. Aharon, Fustat (?). Dating: ca. 1020 CE."
778,Letter,,"Letter from Damascus, from a Maghribi who intends to go to Jerusalem, to Avraham Ha-Kohen b. Hajay, approximately 1035."
779,Letter,communal,Letter from Shelomo b. Yehuda to Yiṣḥaq Ha-Kohen b. Furat written in his own hand. (Gil) 1029.
780,Legal document,"ketubba, Marriage, Qaraite, Reuse",Marriage contract (ketubba). Qaraite. Groom: Ṣedaqa. Location: Fustat(?). Dating: 1020–30s(?). Witnesses: Avraham b. Khalaf ha-Kohen; Netanʾel b. Revaḥ/Rawḥ ha-Levi; Barakāt b. Mubārak; Hiba b. Yosef; Avraham b. Musallam (possibly the scribe of the document); Levi b. Yaʿaqov ha-Levi. On verso there are writing exercises in Arabic script (the beginnings of drafts of letters).
781,Letter,communal,Fragment of a letter from Shelomo ha-Kohen Gaon b. Yehosef. Spring 1025.
782,Letter,,"Letter from Farah b. Isma`il b. Farah (Busir/Abusir) to Abu Zikri Yehuda b. Moshe b. Sigmar. Udovitch's edition was corrected and updated according to Gil's (Ishmael, #504)."
783,Letter,"communal, Mosul Nasis","Letter from the two congregations of Alexandria to David Ha-Levi b. Yiṣḥaq, requesting 33 1/3 dinars for the ransom of a prisoner. January 1031.
Description from PGPID 5265 and 5305:
Letter from the two congregations of Alexandria to David Ha-Levi b. Yiṣḥaq, requesting 33 1/3 dinars for the ransom of a prisoner. 1030-1."
784,Letter,communal,"Letter from Sadoq Ha-Levi b. Levi, Jerusalem, to Efrayim b. Shemarya, Fustat, probably 1030."
785,Legal document,"Marriage, marital reconciliation","Legal document. In Hebrew. Location: Fustat. Dated: [12]91 Seleucid, which is 979/80 CE. Settlement of a marital dispute between Shelomo b. Yeshuʿa ha-Levi and Sittāna bt. Ah[aron]. The dispute evidently arose on account of lack of offspring. They went to the court intending to divorce, but they ended up settling. The main outcome has to do with Sittāna's burial expenses should she die before her husband. According to Jewish law, burial expenses are incumbent on the husband if he outlives his wife; in exchange, he inherits her property. (Whereas if he dies first, it is the wife's family who buries her and inherits her property.) In the present document, Shelomo commits to this obligation and, moreover, to bury her in the same quality of clothing that she has been accustomed to wear (""with which I clothed her"") in her lifetime. To this end, the document lists the kinds of clothes she wears. Witnesses: the scribe [...] b. Shemuel ha-Kohen; Fashshāṭ b. Shemuel (who also signed T-S 16.49 and T-S 12.496); and Baqāʾ b. Mevasser (who also signed T-S 12.161, ENA 4010.10, and apparently also T-S 16.49). (Information from Friedman, Polygyny.)"
786,Letter,,"Upper fragment: Letter from Shela b. Mevasser to Abū l-Faraj Yeshuʿa b. Yefet. In Judaeo-Arabic. Dating: 1094–1111 CE.  About a sum of dinars which Mevorakh b. Seʿadya (here called Sar ha-Sarim) had sent for Shela but which did not arrive. Abū Isḥāq Ibrāhīm Ibn קדורה came and told Shela that he had mistakenly given the money to Abū Sahl (probably Menashshe) Ibn al-Qaṭāʾif. The addressee is asked to wait for Abū Sahl and obtain the money. If Abū Sahl is delayed, Mevorakh should be informed. (Information from Frenkel.)"
790,Letter,"responsa, communal, Babylonian Geonim","Letter in the hand of Daniel b. Azarya (Gil) to ʿEli b. ʿAmram. Daniel b. Azarya refers to notebooks of responsa (including some by Samuel b. Ḥofnī) that he would like copied by an expert scribe on good quality paper - not Egyptian paper, he says, but rather Andalusī (Spain) or Iṭrābulusī (Tripoli) paper. (Information from Gil, Palestine)

On the back is a literary text."
791,Letter,,"Letter from David b. Daniel asking to arrange a short meeting. (See Gil, Palestine, volume 1, sec. 905.)"
793,Letter,"Nahray B. Nissim, trade, Women's letters",Letter from the daughter of the head of the Yeshiva to Nahray b. Nissim. Ca. 1060.
794,Letter,,"Letter from David b. Azarya (Gil: David b. Daniel) to a personality in Fustat asking him to settle the matter between Mufarraj b. Sulayman and his wife, who wants to divorce him."
795,Letter,"Nahray B. Nissim, illness letter 969-1517, trade, illness: mention, Illness","Letter from Abūn b. Ṣadaqa, Jerusalem, to Nahray b. Nissim, Fustat. Abūn conveys a detailed tale of a serious falling-out with another merchant and urges Nahray not to associate with him. Abūn describes his reclusive lifestyle in Jerusalem (v25–30) and mentions in passing that he fell sick (r7–8)."
796,Letter,communal,"Letter from the Yeshiva to the community of Hazor (Caesarea), ca. 1025 (?)"
798,Letter,communal,Letter from Daniel b. Azarya (ca. 1055) to Eli b. Amram in Fustat. Marwan b. Saqir and Yosef b. Yaaqov are mentioned
801,Letter,"communal, captives, charity, crusade, ransoming, Crusades","Recto: Letter of appeal from a woman who ""is among the captives from Palestine."" Dating: both Goitein and Gil date this document to the early Crusader period (early 12th century), but see Goldman, ""Arabic-Speaking Jews in Crusader Syria"" (diss.), p. 37, ""Many undated Geniza documents have been ascribed to the period of the Crusades simply because they relate to warfare, ransoming, refugees, and/or massacres."" Content: The woman requests the help of the community (qahal). She arrived this week in Fustat from Sunbāṭ. She is ""naked"" (i.e., in need), with a young child to take care of. Verso contains a very faded text in Arabic script (see separate entry, PGPID 35164)."
803,Letter,"polygyny, violence, Petition, marital conflict, midwife","Letter/petition to a local dayyan (judge). A complaint against Sulaymān b. Hānī, the abusive husband of the sender's daughter. Including an episode where the husband accuses the wife of not being a virgin and summons the midwife to ""check"" her. Summarized in Med Soc III, IX, C, 1, note 75."
805,Legal document,"Halfon b. Menashshe, prenuptial, contract","Segment of a prenuptial agreement, in the hand of Ḥalfon b. Menashshe ha-Levi."
